Authority
Asto3xbWDdVG9FX8DgJrXpCWbgiRuHmin8bqHwAvbtJp
B1Hf1qKtV7d5M5p88g7bNEMF7V5vYgzXXz2Ym6rzZvvw
B42guaLbysBfCGpTu2PTCsBXukZE4Kp1hyqtzPAzVsbB
BMF7rbgiBdR5QeMDGfVCdsSvq3QGqaaRzjpdgLLK55wD
Bz6zbmbZn2ERVsLq4gUCgqLJCTdWYS1iN59EdSbNoPZv
CHnP7GSkZrDUhiniM78F8mSwpZPwkKjLkAFiaM175kd5
DgbbEpGTAzZz4aoepxMNZ6fzzLMGX2Kwd4ZM2apDQCL5
GhUdmnwEj3XFnpbxxht8qLqFfzfL1rMCmS48G3CZZnKU
H3PF4YjfxVQDd4J6NmV7DpeetdM3rQEq6evhCAZBbwnH
HtJAWMsSRXbyBvXm1F4PDnGFzhgfBAPciyHWMZgugejX
3HDLCsoyLPA8PWcH4D3Vn38ge3RX9KAE2D6qTdAwBeRw
3NqnXGepPPddZvgHHjVrwtppZtjcMSN2wNHihZyqMKLw
3wY9FciTMndggsCgedVLdo8knjaEDCdjk3pvY1wcd1rw
5AmZM5qY2LZtBMVSTVzyZmUGFCgiMTD9xaRuLF8XF1hK
5giB4Sy4g1NZENnViVbViXPk9VAif6N23VpcYDQ38art
7QraqMFdDRTBqyYhKHfsMLuDbSnHwcaPcGt4wEB3jPwc
8Lh2DVW5Lw3HgmZC55Fquno4K5auzSS7EveuLvEtCEXq
88WoY5dZtZbXK2oBuWM1puDP1HFXnnEFbWEzgUCWUtKq
2KEtADJXkXZReaokRU9ARWex2sYCDhmVfN4KiHa9vhh1
69PH2BduyvrhGttLCLmPqoY6KbWbRtQamjwT4i5Nrz1p
8Y8DU4SddrAj8LroKYzVge3rYGkZUcd62Py6wVDhhTAM
